titles,authors,years,ncitedby,linkfiles
An approach to sentiment analysis on Gujarati tweets,"VC Joshi, VM Vekariya",2017,20,http://www.ripublication.com/acst17/acstv10n5_74.pdf
Sentiment analysis of tweets in Saudi Arabia regarding governmental preventive measures to contain COVID-19,"M Alhajji, A Al Khalifah, M Aljubran, M Alkhalifah",2020,59,https://www.researchgate.net/profile/Mohammed-Alkhalifah/publication/340482763_Sentiment_Analysis_of_Tweets_in_Saudi_Arabia_Regarding_Governmental_Preventive_Measures_to_Contain_COVID-19/links/5ffec2b192851c13fe0a3345/Sentiment-Analysis-of-Tweets-in-Saudi-Arabia-Regarding-Governmental-Preventive-Measures-to-Contain-COVID-19.pdf
Twitter Sentimental Analysis using Deep Learning Techniques,"DPV Eric, AP KR",2020,1,https://www.academia.edu/download/65277786/CSEIT206423.pdf
Machine learning implementation for identifying fake accounts in social network,R Raturi,2018,34,https://www.researchgate.net/profile/Rohit-Raturi/publication/326844263_Machine_Learning_Implementation_for_Identifying_Fake_Accounts_in_Social_Network/links/5b68e0e992851ca65051190e/Machine-Learning-Implementation-for-Identifying-Fake-Accounts-in-Social-Network.pdf
Extracting information nuggets from disaster-Related messages in social media.,"M Imran, S Elbassuoni, C Castillo, F Diaz, P Meier",2013,519,http://idl.iscram.org/files/imran/2013/613_Imran_etal2013.pdf
Semantic sentiment analysis of Arabic texts,"S Alowaidi, M Saleh, O Abulnaja",2017,44,https://www.academia.edu/download/68544678/ae8ed86ed5ce0f72cc3e39e774b3bd2b67a3.pdf
… 2016 Task 4: An empirical investigation of traditional NLP features and word embedding features for sentence-level and topic-level sentiment analysis in Twitter,"Y Zhou, Z Zhang, M Lan",2016,15,https://aclanthology.org/S16-1040.pdf
Unitor: Combining syntactic and semantic kernels for twitter sentiment analysis,"G Castellucci, S Filice, D Croce…",2013,9,https://aclanthology.org/S13-2060.pdf
Twitter Analysis of Tweets that Emerged after the# Wacoshooting,"M Moody-Ramirez, D Lin, K Rollins",2016,1,https://www.academia.edu/download/80206026/1284.pdf
"Personality traits on twitter—or—how to get 1,500 personality tests in a week","B Plank, D Hovy",2015,203,https://aclanthology.org/W15-2913.pdf
US President Donald Trump's Twitter Analysis and His Trade Policy Agenda,"H Ishido, Y Tashiro, R Liang",2018,1,https://www.davidpublisher.com/Public/uploads/Contribute/5c1cb009a037a.pdf
Predicting the 2011 dutch senate election results with twitter,"ETK Sang, J Bos",2012,384,https://aclanthology.org/W12-0607.pdf
PUT at SemEval-2016 Task 4: The ABC of Twitter sentiment analysis,"M Lango, D Brzezinski…",2016,15,https://aclanthology.org/S16-1018.pdf
"Fintech Lending in Indonesia: A Sentiment Analysis, Topic Modelling, and Social Network Analysis using Twitter Data","SH Utami, AA Purnama…",2022,2,https://romanpub.com/resources/ijaet%20v4-2-2022-10.pdf
"Chronological analysis of the electronic word-of-mouth effect of four social media channels on movie sales: comparing Twitter, Yahoo! Movies, Youtube, and …","H Baek, S Oh, HD Yang, JH Ann",2014,16,https://core.ac.uk/download/pdf/301362688.pdf
Sentiment analysis of tweets using svm,"M Ahmad, S Aftab, I Ali",2017,120,https://www.researchgate.net/profile/Shabib-Aftab-2/publication/321084834_Sentiment_Analysis_of_Tweets_using_SVM/links/5a1497b90f7e9b925cd514b0/Sentiment-Analysis-of-Tweets-using-SVM.pdf
Twitter: Expressions of the whole self,E Mischaud,2007,113,https://wiredpen.com/wp-content/uploads/2009/05/mischaud_final.pdf
Using link analysis to discover interesting messages spread across twitter,"MC Yang, JT Lee, HC Rim",2012,7,https://aclanthology.org/W12-4103.pdf
Detecting epidemic diseases using sentiment analysis of arabic tweets.,"QB Baker, F Shatnawi, S Rawashdeh…",2020,30,https://pdfs.semanticscholar.org/3514/560ef43da59e4af844362b2a11b498aa9632.pdf
Serendio: Simple and Practical lexicon based approach to Sentiment Analysis,"P Palanisamy, V Yadav, H Elchuri",2013,104,https://aclanthology.org/S13-2091.pdf
Detecting spammers on twitter,"F Benevenuto, G Magno…",2010,1140,https://homepages.dcc.ufmg.br/~fabricio/download/ceas10.pdf
Identifying influencers on twitter,"E Bakshy, JM Hofman, WA Mason…",2011,142,https://www.academia.edu/download/46922984/Identifying_Influencers_on_Twitter20160630-14564-iqdg4g.pdf
Mining social media and DBpedia data using Gephi and R,"S Hussain, LJ Muhammad…",2018,27,https://www.researchgate.net/profile/Sadiq-Hussain-7/publication/324888663_Mining_Social_Media_and_DBpedia_Data_Using_Gephi_and_R/links/5ae9446045851588dd8175b8/Mining-Social-Media-and-DBpedia-Data-Using-Gephi-and-R.pdf
Literature review and challenges of data mining techniques for social network analysis,"A Sharma, MK Sharma, RK Dwivedi",2017,17,http://www.ripublication.com/acst17/acstv10n5_61.pdf
Discovering similar users on twitter,"A Goel, A Sharma, D Wang, Z Yin",2013,48,http://snap.stanford.edu/mlg2013/submissions/mlg2013_submission_20.pdf
Empirical analysis of data mining techniques for social network websites,"SGS Fernando, SN Perera",2014,22,https://www.academia.edu/download/42046278/COMPUSOFT__32__582-592.pdf
Box-office opening prediction of movies based on hype analysis through data mining,"ASS Reddy, P Kasat, A Jain",2012,31,https://www.researchgate.net/profile/Pratik-Kasat-2/publication/258652717_Box-Office_Opening_Prediction_of_Movies_based_on_Hype_Analysis_through_Data_Mining/links/00b7d535a41bc9c7ab000000/Box-Office-Opening-Prediction-of-Movies-based-on-Hype-Analysis-through-Data-Mining.pdf
Introduction to Data Analytics and Data Mining for Social Media Minitrack,"DM Haughton, JJ Xu, DJ Yates",2014,3,https://joss.theoj.org/papers/10.21105/joss.01829.pdf
Using text and data mining techniques to extract stock market sentiment from live news streams,"A Nagar, M Hahsler",2012,34,https://www.researchgate.net/profile/Mudasir-Mohd/publication/269670995_Multi-Class_Twitter_Emotion_Classification_A_New_Approach/links/5765118a08ae1658e2f1ca46/Multi-Class-Twitter-Emotion-Classification-A-New-Approach.pdf
Cyberbullying revelation in twitter data using naïve bayes classifier algorithm,"V Nandakumar, BC Kovoor…",2018,14,https://aclanthology.org/W15-2917.pdf
Case study: Political profiling based on Twitter sentiment analysis for big data using data mining algorithms,"SH Matwankar, SK Shinde",2016,3,https://www.academia.edu/download/62985689/case-study-political-profiling-based-IJERTV5IS02023920200417-37628-bd16js.pdf
DATA MINING AND FEATURE EXTRACTION TECHNIQUES FOR OPINION MINING ANALYSIS IN TWITTER,"A AL FIRTHOUS, P ARUL",2022,43,http://www.jatit.org/volumes/Vol100No14/20Vol100No14.pdf
A survey of finding trends in data mining techniques for social media analysis,"AC Nanayakkara, B Kumara, R Rathnayaka",2021,11,https://www.sab.ac.lk/sljssh/articles/issue-1-2/sljssh-1(2)-4.pdf
Mining social networking data for classification using reptree,"DB Srinivasan, P Mekala",2014,59,https://www.academia.edu/download/35665379/V2I10-0056.pdf
Fuzzy data mining for autism classification of children,M Al-Diabat,2018,27,https://pdfs.semanticscholar.org/4741/3f245dad5a28dee603478c4d6e778e3fa343.pdf
Data Mining Approach for Classifying Twitter's Users,"MS Alqhtani, MRJ Qureshi",2017,6,https://www.academia.edu/download/55484678/IJCET_08_05_006.pdf
should i stay or should i go: Clash of opinions in the brexit twitter debate,L Mangold,2016,8,http://www.math.ucla.edu/~mason/research/mangold_lena-final.pdf
Opportunities and security implications of big data mining,SB Sriramoju,2017,37,https://www.researchgate.net/profile/Shoban-Sriramoju/publication/321097052_OPPORTUNITIES_AND_SECURITY_IMPLICATIONS_OF_BIG_DATA_MINING/links/5a0d2c0c4585153829b1a5d0/OPPORTUNITIES-AND-SECURITY-IMPLICATIONS-OF-BIG-DATA-MINING.pdf
Practical text mining and statistical analysis for non-structured text data applications,"J Elder, T Hill, G Miner, B Nisbet, D Delen, A Fast",2012,37,https://cdn.aaai.org/ocs/5702/5702-24478-1-PB.pdf
Data mining and pattern recognition,"JC Rocha, S Daume",2021,31,https://library.oapen.org/bitstream/handle/20.500.12657/49560/9781000401516.pdf#page=274
Functions of and communication behavior on twitter after the 2015 Nepal earthquake,"BJC Malasig, EJM Quinto",2016,1,https://www.researchgate.net/profile/Edward-Jay-Quinto/publication/306207187_Functions_of_and_Communication_Behavior_on_Twitter_After_The_2015_Nepal_Earthquake/links/5fb2bad945851518fdac8c51/Functions-of-and-Communication-Behavior-on-Twitter-After-The-2015-Nepal-Earthquake.pdf
Twitter event detection,DL Kimmey,2015,2,https://core.ac.uk/download/pdf/47230358.pdf
Exploring Government Uses of Social Media through Twitter Sentiment Analysis.,"HM Chen, PC Franks",2016,24,https://www.researchgate.net/profile/Patricia-Franks/publication/311203776_Exploring_Government_Uses_of_Social_Media_through_Twitter_Sentiment_Analysis/links/622d10749f7b3246342749a5/Exploring-Government-Uses-of-Social-Media-through-Twitter-Sentiment-Analysis.pdf
A new framework for social media content mining and knowledge discovery,"P Bhat, P Malaganve, P Hegde",2019,5,https://www.researchgate.net/profile/Pradnya-Malaganve/publication/330451175_A_New_Framework_for_Social_Media_Content_Mining_and_Knowledge_Discovery/links/5ea82b9c299bf1dcb09ec477/A-New-Framework-for-Social-Media-Content-Mining-and-Knowledge-Discovery.pdf
Mining of Social Media on Covid-19 Big Data Infodemic in Indonesia,"F Binsar, T Mauritsius",2020,5,https://pdfs.semanticscholar.org/6d5b/3ca8e14aed42fc5b3e8de24d2efce8d957d7.pdf
Social media analytics framework: the case of Twitter and Super Bowl ads,"C Oh, S Sasser, S Almahmoud",2015,42,https://www.academia.edu/download/51419901/Social_Media_Analytics_Framework_The_Cas20170118-12272-4jao82.pdf
Crowd-generated data mining for continuous requirements elicitation,"A Alwadain, M Alshargi",2019,5,https://www.researchgate.net/profile/Mohammad-Alshammari-2/publication/336266496_Design_and_Learning_Effectiveness_Evaluation_of_Gamification_in_e-Learning_Systems/links/5daee953a6fdccc99d92b461/Design-and-Learning-Effectiveness-Evaluation-of-Gamification-in-e-Learning-Systems.pdf#page=55
Time Series Data Analysis for Stock Market Prediction using Data Mining Techniques with R.,"MC Angadi, AP Kulkarni",2015,41,https://www.academia.edu/download/40214513/Time_Series_Data_Analysis_For_Stock_Market_Prediction_Using_Data_Mining_Techniques_With_R-Mahantesh_C._Angadi.pdf
"Discovery of emergent issues and controversies in anthropology using text mining, topic modeling, and social network analysis of microblog content",B Marwick,2013,17,http://faculty.washington.edu/bmarwick/PDFs/Marwick_2013_AAA2011_twitter.pdf
A review on the study and analysis of big data using data mining techniques,"A Jha, M Dave, S Madan",2016,28,https://www.academia.edu/download/45797782/4.pdf
Sentiment analysis of Turkish tweets by data mining methods,"A Karahoca, D Karahoca, E Evirgen",2019,6,https://www.researchgate.net/profile/Adem-Karahoca/publication/331043780_Sentiment_analysis_of_Turkish_tweets_by_data_mining_methods/links/5c98956aa6fdccd4603859f0/Sentiment-analysis-of-Turkish-tweets-by-data-mining-methods.pdf
Twitter on Drugs: Pharmaceutical Spam in Tweets,"C Shekar, KJ Liszka, CC Chan",2011,4,http://world-comp.org/p2011/SAM4802.pdf
Twitter Feeds Sentiment Analysis And Visualization,"AR Caballero, JD Niguidula…",2017,3,https://www.researchgate.net/profile/Arlene-Caballero/publication/318498121_Twitter_Feeds_Sentiment_Analysis_and_Visualization/links/5b973404299bf14739458e52/Twitter-Feeds-Sentiment-Analysis-and-Visualization.pdf
Fuzzy data mining utilization to classify kids with autism,"S Khan, M Alshara",2019,13,https://www.researchgate.net/profile/Shakir-Khan-6/publication/333088604_Fuzzy_Data_Mining_Utilization_to_Classify_Kids_with_Autism/links/5cdac386a6fdccc9ddab0dbd/Fuzzy-Data-Mining-Utilization-to-Classify-Kids-with-Autism.pdf
… Sentimen Untuk Mengukur Popularitas Tokoh Publik Berdasar Data Pada Media Sosial Twitter Menggunakan Algoritma Data Mining Dengan Teknik Klasifikasi,"MA Ramdhani, ON Rahim",2014,6,http://informasi.stmik-im.ac.id/wp-content/uploads/2016/05/ali62-1.pdf
"Structure, pace and balance in Twitter conversations","DV Greetham, JA Ward",2012,2,https://cms9-prod-ce.rdg.ac.uk/maths-and-stats/-/media/project/uor-main/schools-departments/maths/documents/preprint-12-25-greetham-v2.pdf?la=en&hash=2337BB3B8C1B86F309ADE637F995E068
An overview of topic discovery in Twitter communication through social media analytics,"A Chinnov, P Kerschke, C Meske, S Stieglitz…",2015,31,https://www.researchgate.net/profile/Christian-Meske/publication/298805542_An_Overview_of_Topic_Discovery_in_Twitter_Communication_through_Social_Media_Analytics/links/56ec516908aed17d09f64310/An-Overview-of-Topic-Discovery-in-Twitter-Communication-through-Social-Media-Analytics.pdf
Simulated and self-sustained classification of Twitter data based on its sentiment,"SN Vinithra, SJA Selvan, MA Kumar…",2015,7,https://www.researchgate.net/profile/M-Kumar-2/publication/283831531_Simulated_and_Self-Sustained_Classification_of_Twitter_Data_based_on_its_Sentiment/links/5b7be4d8a6fdcc5f8b5861ef/Simulated-and-Self-Sustained-Classification-of-Twitter-Data-based-on-its-Sentiment.pdf
Data Mining Twitter for Augmenting NASA Precipitation Research and Application,"W Teng, A Albayrak, G Huffman",NA,34,https://commons.esipfed.org/sites/default/files/esip_winter_2017_twitter_science_BT_122216_0156.pdf
DATA ANALYSIS AND RESULT PREDICATION USING TWITTER DATA MINING,"A Gundavade, D Dalavi, R Landage, S Raijadhav…",NA,7,http://www.irjmets.com/uploadedfiles/paper/volume3/issue_6_june_2021/13764/1628083535.pdf
A text mining research based on LDA topic modelling,"Z Tong, H Zhang",2016,134,https://www.researchgate.net/profile/Solomia-Fedushko/publication/331276764_Proceedings_of_the_Sixth_International_Conference_on_Computer_Science_Engineering_and_Information_Technology_CCSEIT_2016_Vienna_Austria_May_2122_2016/links/5c6fcd63299bf1268d1bc2b0/Proceedings-of-the-Sixth-International-Conference-on-Computer-Science-Engineering-and-Information-Technology-CCSEIT-2016-Vienna-Austria-May-2122-2016.pdf#page=212
Analisis sentimen tingkat kepuasan pengguna penyedia layanan telekomunikasi seluler indonesia pada twitter dengan metode Support Vector Machine dan …,"U Rofiqoh, RS Perdana, MA Fauzi",2017,3,https://www.researchgate.net/profile/Rizal-Perdana/publication/320234928_Analisis_Sentimen_Tingkat_Kepuasan_Pengguna_Penyedia_Layanan_Telekomunikasi_Seluler_Indonesia_Pada_Twitter_dengan_Metode_Support_Vector_Machine_dan_Lexicon_Based_Features/links/59d64f61a6fdcc52aca7c6eb/Analisis-Sentimen-Tingkat-Kepuasan-Pengguna-Penyedia-Layanan-Telekomunikasi-Seluler-Indonesia-Pada-Twitter-dengan-Metode-Support-Vector-Machine-dan-Lexicon-Based-Features.pdf
Deep Tweets Analyzer Model for Twitter Mood Visualization and Prediction Based Deep Learning Approach,"M Alghalibi, A Al-Azzawi, K Lawonn",2019,31,https://www.researchgate.net/profile/Maha-Al-Ghalibi/publication/329585758_Deep_Tweets_Analyzer_Model_for_Twitter_Mood_Visualization_and_Prediction_Based_Deep_Learning_Approach/links/5c5eeb4292851c48a9c5f64a/Deep-Tweets-Analyzer-Model-for-Twitter-Mood-Visualization-and-Prediction-Based-Deep-Learning-Approach.pdf
A Taxonomy of Twitter Data Analytics Techniques,"M Hamzah, TT Vu",2018,40,https://www.researchgate.net/profile/Muzaffar-Hamzah/publication/333433921_A_taxonomy_of_twitter_data_analytics_techniques/links/5dfc3655299bf10bc368e18c/A-taxonomy-of-twitter-data-analytics-techniques.pdf
Twitter Data Mining and Predictive Modeling in R,"E Espinosa, R Sanchez-Arias",NA,NA,https://sciforum.net/manuscripts/5097/slides.pdf
Automatic Detection of Irony and Humour in Twitter.,"F Barbieri, H Saggion",2014,83,https://computationalcreativity.net/iccc2014/wp-content/uploads/2014/06/9.2_Barbieri.pdf
Twitter data mining: Green energy trends analysis,"E Zarrabeitia-Bilbao, J Morales-i-Gras…",NA,15,https://www.researchgate.net/profile/Jose-Manuel-Galan/publication/353295337_Proceedings_of_the_15th_International_Conference_on_Industrial_Engineering_and_Industrial_Management_and_XXV_Congreso_de_Ingenieria_de_Organizacion/links/60f1966e16f9f31300880f8c/Proceedings-of-the-15th-International-Conference-on-Industrial-Engineering-and-Industrial-Management-and-XXV-Congreso-de-Ingenieria-de-Organizacion.pdf#page=203
Current trends in text mining for social media,"T Singh, M Kumari, TL Pal, A Chauhan",2017,NA,https://www.academia.edu/download/71687500/ijgdc.2017.10.6.pdf
